Date,observations (m),Observations minus predictions (m)
2023-08-13 16:43 PDT,3.982,
2023-08-13 16:42 PDT,3.987,
2023-08-13 16:41 PDT,3.984,
2023-08-13 16:40 PDT,3.97,
2023-08-13 16:39 PDT,3.956,
2023-08-13 16:38 PDT,3.937,
2023-08-13 16:37 PDT,3.94,
2023-08-13 16:36 PDT,3.93,
2023-08-13 16:35 PDT,3.925,
2023-08-13 16:34 PDT,3.907,
2023-08-13 16:33 PDT,3.9,
2023-08-13 16:32 PDT,3.897,
2023-08-13 16:31 PDT,3.904,
2023-08-13 16:30 PDT,3.888,
2023-08-13 16:29 PDT,3.876,
2023-08-13 16:28 PDT,3.855,
2023-08-13 16:27 PDT,3.853,
2023-08-13 16:26 PDT,3.845,
2023-08-13 16:25 PDT,3.815,
2023-08-13 16:24 PDT,3.81,
2023-08-13 16:23 PDT,3.818,
2023-08-13 16:22 PDT,3.822,
2023-08-13 16:21 PDT,3.82,
2023-08-13 16:20 PDT,3.794,
2023-08-13 16:19 PDT,3.773,
2023-08-13 16:18 PDT,3.767,
2023-08-13 16:17 PDT,3.767,
2023-08-13 16:16 PDT,3.759,
2023-08-13 16:15 PDT,3.749,
2023-08-13 16:14 PDT,3.734,
2023-08-13 16:13 PDT,3.72,
2023-08-13 16:12 PDT,3.713,
2023-08-13 16:11 PDT,3.707,
2023-08-13 16:10 PDT,3.704,
2023-08-13 16:09 PDT,3.681,
2023-08-13 16:08 PDT,3.673,
2023-08-13 16:07 PDT,3.661,
2023-08-13 16:06 PDT,3.654,
2023-08-13 16:05 PDT,3.636,
2023-08-13 16:04 PDT,3.629,
2023-08-13 16:03 PDT,3.623,
2023-08-13 16:02 PDT,3.612,
2023-08-13 16:01 PDT,3.603,
2023-08-13 16:00 PDT,3.586,
2023-08-13 15:59 PDT,3.576,
2023-08-13 15:58 PDT,3.565,
2023-08-13 15:57 PDT,3.557,
2023-08-13 15:56 PDT,3.555,
2023-08-13 15:55 PDT,3.539,
2023-08-13 15:54 PDT,3.527,
2023-08-13 15:53 PDT,3.522,
2023-08-13 15:52 PDT,3.504,
2023-08-13 15:51 PDT,3.499,
2023-08-13 15:50 PDT,3.489,
2023-08-13 15:49 PDT,3.48,
2023-08-13 15:48 PDT,3.478,
2023-08-13 15:47 PDT,3.47,
2023-08-13 15:46 PDT,3.463,
2023-08-13 15:45 PDT,3.443,
2023-08-13 15:44 PDT,3.43,
2023-08-13 15:43 PDT,3.426,
2023-08-13 15:42 PDT,3.426,
2023-08-13 15:41 PDT,3.417,
2023-08-13 15:40 PDT,3.395,
2023-08-13 15:39 PDT,3.391,
2023-08-13 15:38 PDT,3.383,
2023-08-13 15:37 PDT,3.373,
2023-08-13 15:36 PDT,3.364,
2023-08-13 15:35 PDT,3.346,
2023-08-13 15:34 PDT,3.348,
2023-08-13 15:33 PDT,3.345,
2023-08-13 15:32 PDT,3.325,
2023-08-13 15:31 PDT,3.313,
2023-08-13 15:30 PDT,3.299,
2023-08-13 15:29 PDT,3.281,
2023-08-13 15:28 PDT,3.274,
2023-08-13 15:27 PDT,3.256,
2023-08-13 15:26 PDT,3.248,
2023-08-13 15:25 PDT,3.239,
2023-08-13 15:24 PDT,3.237,
2023-08-13 15:23 PDT,3.216,
2023-08-13 15:22 PDT,3.207,
2023-08-13 15:21 PDT,3.197,
2023-08-13 15:20 PDT,3.18,
2023-08-13 15:19 PDT,3.166,
2023-08-13 15:18 PDT,3.156,
2023-08-13 15:17 PDT,3.154,
2023-08-13 15:16 PDT,3.145,
2023-08-13 15:15 PDT,3.131,
2023-08-13 15:14 PDT,3.115,
2023-08-13 15:13 PDT,3.1,
2023-08-13 15:12 PDT,3.083,
2023-08-13 15:11 PDT,3.076,
2023-08-13 15:10 PDT,3.055,
2023-08-13 15:09 PDT,3.049,
2023-08-13 15:08 PDT,3.053,
2023-08-13 15:07 PDT,3.036,
2023-08-13 15:06 PDT,3.027,
2023-08-13 15:05 PDT,3.008,
2023-08-13 15:04 PDT,2.996,
2023-08-13 15:03 PDT,2.989,
2023-08-13 15:02 PDT,2.983,
2023-08-13 15:01 PDT,2.97,
2023-08-13 15:00 PDT,2.959,
2023-08-13 14:59 PDT,2.949,
2023-08-13 14:58 PDT,2.935,
2023-08-13 14:57 PDT,2.923,
2023-08-13 14:56 PDT,2.912,
2023-08-13 14:55 PDT,2.891,
2023-08-13 14:54 PDT,2.886,
2023-08-13 14:53 PDT,2.878,
2023-08-13 14:52 PDT,2.865,
2023-08-13 14:51 PDT,2.852,
2023-08-13 14:50 PDT,2.838,
2023-08-13 14:49 PDT,2.831,
2023-08-13 14:48 PDT,2.824,
2023-08-13 14:47 PDT,2.812,
2023-08-13 14:46 PDT,2.796,
2023-08-13 14:45 PDT,2.788,
2023-08-13 14:44 PDT,2.779,
2023-08-13 14:43 PDT,2.768,
2023-08-13 14:42 PDT,2.754,
2023-08-13 14:41 PDT,2.746,
2023-08-13 14:40 PDT,2.727,
2023-08-13 14:39 PDT,2.706,
2023-08-13 14:38 PDT,2.702,
2023-08-13 14:37 PDT,2.692,
2023-08-13 14:36 PDT,2.683,
2023-08-13 14:35 PDT,2.667,
2023-08-13 14:34 PDT,2.647,
2023-08-13 14:33 PDT,2.636,
2023-08-13 14:32 PDT,2.627,
2023-08-13 14:31 PDT,2.615,
2023-08-13 14:30 PDT,2.601,
2023-08-13 14:29 PDT,2.587,
2023-08-13 14:28 PDT,2.569,
2023-08-13 14:27 PDT,2.562,
2023-08-13 14:26 PDT,2.542,
2023-08-13 14:25 PDT,2.523,
2023-08-13 14:24 PDT,2.517,
2023-08-13 14:23 PDT,2.497,
2023-08-13 14:22 PDT,2.489,
2023-08-13 14:21 PDT,2.471,
2023-08-13 14:20 PDT,2.46,
2023-08-13 14:19 PDT,2.454,
2023-08-13 14:18 PDT,2.443,
2023-08-13 14:17 PDT,2.43,
2023-08-13 14:16 PDT,2.417,
2023-08-13 14:15 PDT,2.399,
2023-08-13 14:14 PDT,2.393,
2023-08-13 14:13 PDT,2.378,
2023-08-13 14:12 PDT,2.366,
2023-08-13 14:11 PDT,2.358,
2023-08-13 14:10 PDT,2.348,
2023-08-13 14:09 PDT,2.345,
2023-08-13 14:08 PDT,2.325,
2023-08-13 14:07 PDT,2.309,
2023-08-13 14:06 PDT,2.299,
2023-08-13 14:05 PDT,2.29,
2023-08-13 14:04 PDT,2.279,
2023-08-13 14:03 PDT,2.26,
2023-08-13 14:02 PDT,2.259,
2023-08-13 14:01 PDT,2.249,
2023-08-13 14:00 PDT,2.239,
2023-08-13 13:59 PDT,2.224,
2023-08-13 13:58 PDT,2.211,
2023-08-13 13:57 PDT,2.203,
2023-08-13 13:56 PDT,2.178,
2023-08-13 13:55 PDT,2.175,
2023-08-13 13:54 PDT,2.161,
2023-08-13 13:53 PDT,2.164,
2023-08-13 13:52 PDT,2.167,
2023-08-13 13:51 PDT,2.135,
2023-08-13 13:50 PDT,2.137,
2023-08-13 13:49 PDT,2.121,
2023-08-13 13:48 PDT,2.11,
2023-08-13 13:47 PDT,2.103,
2023-08-13 13:46 PDT,2.092,
2023-08-13 13:45 PDT,2.082,
2023-08-13 13:44 PDT,2.064,
2023-08-13 13:43 PDT,2.068,
2023-08-13 13:42 PDT,2.059,
2023-08-13 13:41 PDT,2.042,
2023-08-13 13:40 PDT,2.035,
2023-08-13 13:39 PDT,2.011,
2023-08-13 13:38 PDT,2.006,
2023-08-13 13:37 PDT,1.99,
2023-08-13 13:36 PDT,1.983,
2023-08-13 13:35 PDT,1.983,
2023-08-13 13:34 PDT,1.967,
2023-08-13 13:33 PDT,1.958,
2023-08-13 13:32 PDT,1.937,
2023-08-13 13:31 PDT,1.927,
2023-08-13 13:30 PDT,1.914,
2023-08-13 13:29 PDT,1.895,
2023-08-13 13:28 PDT,1.884,
2023-08-13 13:27 PDT,1.874,
2023-08-13 13:26 PDT,1.872,
2023-08-13 13:25 PDT,1.858,
2023-08-13 13:24 PDT,1.839,
2023-08-13 13:23 PDT,1.844,
2023-08-13 13:22 PDT,1.822,
2023-08-13 13:21 PDT,1.809,
2023-08-13 13:20 PDT,1.796,
2023-08-13 13:19 PDT,1.792,
2023-08-13 13:18 PDT,1.783,
2023-08-13 13:17 PDT,1.765,
2023-08-13 13:16 PDT,1.762,
2023-08-13 13:15 PDT,1.759,
2023-08-13 13:14 PDT,1.743,
2023-08-13 13:13 PDT,1.729,
2023-08-13 13:12 PDT,1.709,
2023-08-13 13:11 PDT,1.704,
2023-08-13 13:10 PDT,1.691,
2023-08-13 13:09 PDT,1.678,
2023-08-13 13:08 PDT,1.688,
2023-08-13 13:07 PDT,1.677,
2023-08-13 13:06 PDT,1.654,
2023-08-13 13:05 PDT,1.651,
2023-08-13 13:04 PDT,1.647,
2023-08-13 13:03 PDT,1.632,
2023-08-13 13:02 PDT,1.622,
2023-08-13 13:01 PDT,1.612,
2023-08-13 13:00 PDT,1.598,
2023-08-13 12:59 PDT,1.59,
2023-08-13 12:58 PDT,1.579,
2023-08-13 12:57 PDT,1.572,
2023-08-13 12:56 PDT,1.571,
2023-08-13 12:55 PDT,1.555,
2023-08-13 12:54 PDT,1.545,
2023-08-13 12:53 PDT,1.544,
2023-08-13 12:52 PDT,1.533,
2023-08-13 12:51 PDT,1.516,
2023-08-13 12:50 PDT,1.501,
2023-08-13 12:49 PDT,1.499,
2023-08-13 12:48 PDT,1.491,
2023-08-13 12:47 PDT,1.489,
2023-08-13 12:46 PDT,1.476,
2023-08-13 12:45 PDT,1.455,
